date,movie,budget,domestic,world
12/18/2008,Avatar,425000000,760507625,2783918982
5/24/2007,Pirates of the Caribbean: At World's End,300000000,309420425,960996492
7/20/2012,The Dark Knight Rises,275000000,448139099,1079343943
3/9/2012,John Carter,275000000,73058679,282778100
7/2/2013,The Lone Ranger,275000000,89289910,259989910
11/24/2010,Tangled,260000000,200821936,586581936
5/4/2007,Spider-Man 3,258000000,336530303,890875303
12/13/2013,The Hobbit: The Desolation of Smaug,250000000,258366855,950466855
5/20/2011,Pirates of the Caribbean: On Stranger Tides,250000000,241063875,1043663875
7/15/2009,Harry Potter and the Half-Blood Prince,250000000,301959197,934416487
12/14/2012,The Hobbit: An Unexpected Journey,250000000,303003568,1014703568
6/28/2006,Superman Returns,232000000,200120000,390874000
11/14/2008,Quantum of Solace,230000000,169368427,591692078
6/14/2013,Man of Steel,225000000,291045518,667999518
7/7/2006,Pirates of the Caribbean: Dead Man's Chest,225000000,423315812,1060615812
5/16/2008,The Chronicles of Narnia: Prince Caspian,225000000,141621490,419490286
5/4/2012,Marvel's The Avengers,225000000,623279547,1514279547
7/3/2012,The Amazing Spider-Man,220000000,262030663,757890267
5/25/2012,Men in Black 3,215000000,179020854,624821154
6/24/2009,Transformers: Revenge of the Fallen,210000000,402111870,836519699
